Job Code,Purchased Services Job Code
1573,Japanese
1574,Portuguese
1576,Polish
1579,Hebrew
1581,Arabic
1582,Korean
1599,Other Than Above
1607,Health & Physical Education
1610,Driver Education
1615,Swimming/Water Safety
1620,Health
1630,Physical Education
1644,Recreation
1645,Family Life Education
1700,Family & Consumer Sciences - Comprehensive
1704,"Family & Consumer Sciences – Apparel, Textiles and Interiors"
1706,Family & Consumer Sciences - Child & Family Development
1760,Family & Consumer Sciences – Foods/Nutrition & Food Science
1805,Career Education
1812,General Shop
1815,Plastics
1818,Ceramics
1819,Leatherworking
1821,"Drafting and Design Technology (Includes Mechanical, Architectural, Machine Drawing, Architecture/Home Planning, Blueprint Reading, Industrial Arts, Industrial Drafting)"
1825,Engineering Drawing
1832,Furniture Refinish
1833,General Woodwork
1842,General Metalwork
1844,Machine Shop
1850,Radio and Theory
1853,Basic Electricity
1854,Appliance Repair
1855,Electricity/Electronics
1856,Electronics
1857,Electricity
1861,General Mechanics
1862,Power Mechanics
1864,Auto Mechanics
1872,Graphic Arts
1876,Printing
1882,Home Mechanics
1893,Surveying
1894,Building Trades
1896,Aeronautics
1897,Technology Education
1901,Math Non-Elementary
1904,Remedial Math
1907,Business Math
1962,Computer Literacy/Applications/Programming
2001,"Financial Literacy (Math, Social Studies, Business:  Finance, Economics, Law, Comprehensive Business, Comprehensive Family and Consumer Sciences and General Business Teachers) can hold this Job Code"
2100,Music Comprehensive
2110,Music Instrumental
2130,Music Vocal
2202,Science General
2205,Science Earth
2206,Science Physical
2214,Science Military
2231,Science Biological
2235,Science Chemistry
2236,Science Physics
2302,Social Studies Non-Elementary
2305,Social Studies Humanities
2317,Social Studies Psychology
2322,Social Studies History
2391,Social Studies Geography
2400,Supplementary Instruction (In-Class) 
2401,Supplementary Instruction (Pull-Out) 
2405,Resource Program In-Class 
2406,Resource Program Pull-Out Support
2410,Teacher Coach
2411,Teacher Coordinator
2412,Teacher Leader
2501,Agricultural Occupations
2507,Agricultural Technology
2508,Turf Management
2512,Marketing Education
2513, Apparel and Accessories
2514,Automotive
2517,Food Management
2518,Food Services
2519,Food Production
2520,Food Technology
2522,Hotel and Lodging
2523,Health Fitness
2525,Computer Integrated Manufacturing
2526,Audio Technology
2527,Environmental Occupations
2540,Dental Assisting
2541,Legal Assisting
2551,Practical Nurse
2552,Medical Assistant
2554,Health Occupation
2555,Medical Dental Assistant
2556,Nursing Assistant (Aide)
2569,Small Animal Care
2570,Supermarket Careers
2571,Warehousing
2572,Automotive Technology (Includes Automobile Mechanics and Automotive Specialties)
2573,Chemical Technology
2575,Construction Technology
2576,Draft/Design Technology
2577,Electrical Technology
2579,Electronic Technology
2580,Law Enforcement
2581,Emergency Medical Technology
2582,Medical Labor Technology
2583,Medical Records Technology
2584,Ophthalmic Medical Assist
2585,Optical Technician
2586,Phlebotomist/Venipuncture Technician
2587,Surgical Technologist
2588,Banking/Finance Technology
2589,Dental Laboratory Technology
2593,Computer Technology
2595,Water/ Waste Water
2597,Power Plant Technology
2600,Air Conditioning & Refrigeration
2602,Heating/Ventilation
2603,Heating/Ventilation/Air Conditioning/Refrigeration
2604,Appliance Repair
2612,Body/Fender Repair
2613,Diesel Mechanic
2614,Heavy Equipment (Construction Mechanic)
2616,Small Engine Repair(Internal Combustion)
2617,Aircraft Maintenance
2619,Commercial Art 
2620,Commercial Photography 
2621,Drafting
2622,Graphic Arts 
2623,Industrial Design
2624,Printing
2626,Marine Trades Technology 
2627,Building Trades
2628,Carpentry
2629,Custodial Services
2630,Electricity
2632,Maintenance Mechanics
2633,Masonry
2634,Painting and Decorating
2635,Plumbing & Pipefitting
2637,Stationary Engineering
2638,Business Machine Maintenance & Repair
2643,Radio Broadcasting
2644,Radio/Television Repair
2645,Television Production
2646,Apparel and Textile Service
2649,Tailoring/Dress Making
2650,Apparel and Textile Management
2652,Cosmetology/Hair Styling
2655,Building Maintenance
2656,Machine Shop
2659,Millwork/Cabinet Making
2660,Plastics Production
2661,Sheet Metal
2662,Upholstering
2663,Welding
2664,Baking
2665,Commercial Food Services
2681,Introduction to Vocations
2683,Laboratory Technology
2691,Engineering Technology
2692,Telecommunications
2693,Vocational Arts/Dance
2694,Vocational Art/Theater
2695,Visual Arts
2696,Vocational Art/Inst Music
2697,Vocational Art/Vocal Music
2698,Desktop Publishing
2699,Dental Office Management
2700,Medical Office Management
2701,Culinary Arts
2702,Chef Preparation
2703,Travel and Tourism
2704,Recreation
2705,Meeting Planners
2706,Electrolysis
2707,Massage Therapy
2708,Human Development & Child Care Services
2709,Adult Care Services
2710,Nail Technicians
2711,Estheticians
2712,Data Management
2713,Computer Network System
2714,Computer Service Technicians
2715,Computer System Engineering
2716,Interactive Media
2717,"Information, Support & Services"
2718,Internet& Online Technology
2719,Vehicles & Petroleum Marketing
2720,Marine Sciences
2721,Vocational Arts/Electronic Music
2722,Transportation and Travel Marketing
3100,Director of School Counseling Services
3101,School Counselor
3105,"School Librarian, Media Specialist Assoc."
3111,Occupation Therapist
3112,Physical Therapist
3113,Athletic Trainer
3114,School Nurse
3115,School Nurse/Non Instructional
3116,School Psychologist
3117,School Social Worker
3118,Learning Disabilities Teacher Consultant
3119,Reading Specialist
3120,Speech Correction/Language Specialist
3121,Coordinator Substance Abuse
3122,Educational Interpreter-Sign Language Interpreting
3123,Educational Interpreter-Oral Interpreting
3124,Educational Interpreter-Cued Speech Transliteration
3125,Teacher/ Behavior Specialist (SE Only)
3126,Cooperative Agricultural Education
3132,Cooperative Education Coordinator (Hazardous Occupations)
3133,Cooperative  Education Coordinator (Non Hazardous Occupations)
3134,County Apprenticeship Coordinator
3135,Structured Learning Experience Coordinator
4000,Anti-Bullying Specialist
4001,In-School Suspension
9000,Professional Staff
9050,Physics (Pilot Program Only)
9100,Instructional Paraprofessionals (Serving Ages 3 to 5)
9101,Instructional Paraprofessionals (Serving Ages 6 to 21)
9150,Non Instructional Paraprofessionals (Serving Ages 3 to 5)
9151,Non Instructional Paraprofessionals (Serving Ages 6 to 21)
9200,Technicians
9300,Clerical/Secretarial
9400,Service Workers
9500,Skilled Craftsperson's
9600,Laborers Unskilled 
